node_name,edge_name,name_of_component,severity
Graph_Theory,foundation_for,Shortest_Path,high
Graph_Theory,foundation_for,Community_Detection,high
Graph_Theory,related_to,Spectral_Clustering,high
Algorithms,implemented_with,Dijkstra,high
Algorithms,implemented_with,Kruskal,high
Data_Structures,enables,Efficient_Graph_Algorithms,high
Network_Science,used_for,Social_Network_Mapping,high
Network_Science,measures,Network_Centrality,high
Network_Centrality,measured_by,Degree,high
Network_Centrality,measured_by,Betweenness,high
Community_Detection,evaluated_by,Modularity,high
Community_Detection,applied_in,Network_Analysis,high
Clustering,implemented_with,Spectral_Clustering,high
Graph_Embedding,used_for,Link_Prediction,high
Graph_Embedding,evaluated_by,Node_Similarity,high
Link_Prediction,used_in,Recommendation_Systems,high
Recommendation_Systems,uses_algorithm,Graph_Embedding,high
PageRank,used_in,Information_Retrieval,high
PageRank,implemented_with,Power_Iteration,high
Graph_Neural_Networks,trained_on,Cora_Dataset,high
Graph_Neural_Networks,used_for,Node_Classification,high
Graph_Visualization,implemented_with,Force_Directed_Layout,high
Neo4j,stores,Knowledge_Graphs,high
Knowledge_Graphs,model,Graph_Embedding,high
Knowledge_Graphs,encode,RDF_Triples,high
Digital_Humanities,applies_methods,Graph_Analytics,high
Cultural_Analytics,uses_method,Network_Analysis,high
Cultural_Analytics,applied_to,Community_Detection,high
Supply_Chain_Analysis,uses,Graph_Analytics,high
Network_Analysis,used_for,Node_Similarity,high
Node_Similarity,used_for,Link_Prediction,high
Graph_Embedding,connected_to,Graph_Neural_Networks,high
Community_Detection,connected_to,Graph_Neural_Networks,high
Graph_Visualization,connects_to,Knowledge_Graphs,high
Recommendation_Systems,connected_to,Network_Analysis,high
Neo4j,connected_to,Graph_Neural_Networks,high
Digital_Humanities,connected_to,Knowledge_Graphs,high
Cultural_Analytics,connected_to,Graph_Visualization,high

